w={'en': 3, 'hi': 4, 'te': 6, 'mai': 2} en=0.6107 hi=0.5824 te=0.5953 mai=0.7345 spread=0.15207 score=6576 under1.2=True
w={'en': 3, 'hi': 4, 'te': 6, 'mai': 3} en=0.6114 hi=0.5833 te=0.5959 mai=0.6858 spread=0.10251 score=9755 under1.2=True
w={'en': 3, 'hi': 5, 'te': 3, 'mai': 1} en=0.5995 hi=0.5531 te=0.7086 mai=0.7281 spread=0.17500 score=5714 under1.2=True
w={'en': 3, 'hi': 5, 'te': 3, 'mai': 2} en=0.6007 hi=0.5515 te=0.7120 mai=0.7030 spread=0.16046 score=6232 under1.2=True
w={'en': 3, 'hi': 5, 'te': 3, 'mai': 3} en=0.6021 hi=0.5510 te=0.7143 mai=0.6476 spread=0.16334 score=6122 under1.2=True
w={'en': 3, 'hi': 5, 'te': 4, 'mai': 1} en=0.6076 hi=0.5549 te=0.6654 mai=0.7354 spread=0.18050 score=5540 under1.2=True
w={'en': 3, 'hi': 5, 'te': 4, 'mai': 2} en=0.6084 hi=0.5541 te=0.6661 mai=0.7169 spread=0.16283 score=6141 under1.2=True
w={'en': 3, 'hi': 5, 'te': 4, 'mai': 3} en=0.6101 hi=0.5538 te=0.6673 mai=0.6584 spread=0.11357 score=8805 under1.2=True
w={'en': 3, 'hi': 5, 'te': 5, 'mai': 1} en=0.6124 hi=0.5585 te=0.6382 mai=0.7498 spread=0.19131 score=5227 under1.2=True
w={'en': 3, 'hi': 5, 'te': 5, 'mai': 2} en=0.6137 hi=0.5575 te=0.6382 mai=0.7238 spread=0.16634 score=6012 under1.2=True
w={'en': 3, 'hi': 5, 'te': 5, 'mai': 3} en=0.6154 hi=0.5570 te=0.6386 mai=0.6791 spread=0.12210 score=8190 under1.2=True
w={'en': 3, 'hi': 5, 'te': 6, 'mai': 1} en=0.6181 hi=0.5594 te=0.6189 mai=0.7500 spread=0.19065 score=5245 under1.2=True
w={'en': 3, 'hi': 5, 'te': 6, 'mai': 2} en=0.6190 hi=0.5585 te=0.6197 mai=0.7252 spread=0.16668 score=6000 under1.2=True
w={'en': 3, 'hi': 5, 'te': 6, 'mai': 3} en=0.6198 hi=0.5578 te=0.6215 mai=0.6937 spread=0.13593 score=7357 under1.2=True
w={'en': 3, 'hi': 6, 'te': 3, 'mai': 1} en=0.6135 hi=0.5331 te=0.7259 mai=0.7302 spread=0.19709 score=5074 under1.2=True
w={'en': 3, 'hi': 6, 'te': 3, 'mai': 2} en=0.6139 hi=0.5332 te=0.7269 mai=0.7042 spread=0.19378 score=5160 under1.2=True
w={'en': 3, 'hi': 6, 'te': 3, 'mai': 3} en=0.6142 hi=0.5339 te=0.7269 mai=0.6643 spread=0.19307 score=5179 under1.2=True
w={'en': 3, 'hi': 6, 'te': 4, 'mai': 1} en=0.6162 hi=0.5399 te=0.6836 mai=0.7297 spread=0.18981 score=5269 under1.2=True
w={'en': 3, 'hi': 6, 'te': 4, 'mai': 2} en=0.6168 hi=0.5395 te=0.6849 mai=0.7063 spread=0.16673 score=5998 under1.2=True
w={'en': 3, 'hi': 6, 'te': 4, 'mai': 3} en=0.6175 hi=0.5393 te=0.6857 mai=0.6723 spread=0.14638 score=6832 under1.2=True
w={'en': 3, 'hi': 6, 'te': 5, 'mai': 1} en=0.6222 hi=0.5470 te=0.6387 mai=0.7295 spread=0.18250 score=5479 under1.2=True
w={'en': 3, 'hi': 6, 'te': 5, 'mai': 2} en=0.6225 hi=0.5472 te=0.6385 mai=0.7092 spread=0.16201 score=6173 under1.2=True
w={'en': 3, 'hi': 6, 'te': 5, 'mai': 3} en=0.6229 hi=0.5474 te=0.6387 mai=0.6763 spread=0.12892 score=7757 under1.2=True
w={'en': 3, 'hi': 6, 'te': 6, 'mai': 1} en=0.6233 hi=0.5483 te=0.6330 mai=0.7287 spread=0.18034 score=5545 under1.2=True
w={'en': 3, 'hi': 6, 'te': 6, 'mai': 2} en=0.6232 hi=0.5485 te=0.6337 mai=0.7101 spread=0.16153 score=6191 under1.2=True
w={'en': 3, 'hi': 6, 'te': 6, 'mai': 3} en=0.6233 hi=0.5486 te=0.6338 mai=0.6780 spread=0.12943 score=7726 under1.2=True
w={'en': 4, 'hi': 3, 'te': 3, 'mai': 1} en=0.5710 hi=0.6091 te=0.7008 mai=0.7684 spread=0.19743 score=5065 under1.2=True
